Anatomy::UBERON:0000178	AuG	Gene::9489
Anatomy::UBERON:0002369	AuG	Gene::728577
Anatomy::UBERON:0001013	AuG	Gene::25849
Anatomy::UBERON:0001896	AuG	Gene::221545
Anatomy::UBERON:0002030	AuG	Gene::10134
Anatomy::UBERON:0001235	AuG	Gene::118429
Anatomy::UBERON:0000992	AuG	Gene::645840
Anatomy::UBERON:0002046	AuG	Gene::5652
Anatomy::UBERON:0000992	AuG	Gene::4983
Anatomy::UBERON:0001893	AuG	Gene::254531
Anatomy::UBERON:0000002	AuG	Gene::11099
Anatomy::UBERON:0000029	AuG	Gene::347454
Anatomy::UBERON:0000992	AuG	Gene::23306
Anatomy::UBERON:0002185	AuG	Gene::1301
Anatomy::UBERON:0000007	AuG	Gene::23786
Anatomy::UBERON:0002030	AuG	Gene::51599
Anatomy::UBERON:0002081	AuG	Gene::55471
Anatomy::UBERON:0002369	AuG	Gene::6875
Anatomy::UBERON:0000992	AuG	Gene::114825
Anatomy::UBERON:0000955	AuG	Gene::5924
Anatomy::UBERON:0002367	AuG	Gene::57616
Anatomy::UBERON:0002046	AuG	Gene::79725
Anatomy::UBERON:0002240	AuG	Gene::79956
Anatomy::UBERON:0001891	AuG	Gene::25978
Anatomy::UBERON:0000178	AuG	Gene::81558
Anatomy::UBERON:0001675	AuG	Gene::58473
Anatomy::UBERON:0002046	AuG	Gene::7561
Anatomy::UBERON:0002081	AuG	Gene::1857
Anatomy::UBERON:0000997	AuG	Gene::255520
Anatomy::UBERON:0000995	AuG	Gene::53371
Anatomy::UBERON:0001296	AuG	Gene::5352
Anatomy::UBERON:0001135	AuG	Gene::85363
Anatomy::UBERON:0002107	AuG	Gene::107
Anatomy::UBERON:0002371	AuG	Gene::23186
Anatomy::UBERON:0000473	AuG	Gene::149473
Anatomy::UBERON:0002371	AuG	Gene::5279
Anatomy::UBERON:0002082	AuG	Gene::5563
Anatomy::UBERON:0002107	AuG	Gene::729920
Anatomy::UBERON:0002037	AuG	Gene::147686
Anatomy::UBERON:0002367	AuG	Gene::80336
Anatomy::UBERON:0001235	AuG	Gene::6482
Anatomy::UBERON:0002367	AuG	Gene::3660
Anatomy::UBERON:0002369	AuG	Gene::51690
Anatomy::UBERON:0000473	AuG	Gene::11169
Anatomy::UBERON:0000007	AuG	Gene::100131187
Anatomy::UBERON:0002048	AuG	Gene::85363
Anatomy::UBERON:0002367	AuG	Gene::152189
Anatomy::UBERON:0000057	AuG	Gene::10231
Anatomy::UBERON:0001893	AuG	Gene::3098
Anatomy::UBERON:0001295	AuG	Gene::51111
Anatomy::UBERON:0000955	AuG	Gene::56998
Anatomy::UBERON:0002082	AuG	Gene::51267
Anatomy::UBERON:0000997	AuG	Gene::10509
